State,Long & Lat,Obesity %,Overweight %,In-Active %,Muscle Strengthening %,Low Aerobics %,High Aerobics %,Strength & Conditioning %,Low Veggies Consumption %,Low Fruit Consumption %
Alabama,"(32.84057112200048, -86.63186076199969)",33.41985580031708,34.40266520789685,30.35171857098218,24.37939774924557,43.95677250920822,25.80161020633381,15.482847937171194,25.599804503960264,45.60294680805392
Alaska,"(64.84507995700051, -147.72205903599973)",28.33714633745995,37.627901149226645,20.651719044465956,34.140095975232185,57.32732376102979,37.255386183717995,24.586289663133932,18.776311890838212,39.08751951766251
Arizona,"(34.865970280000454, -111.76381127699972)",27.033481601826647,36.21115507794922,22.765078095075967,31.00290213211818,53.82466702990678,34.43584480676942,22.613208531532916,20.743749373634518,38.150600029485474
Arkansas,"(34.74865012400045, -92.27449074299966)",33.93226891919961,34.85922101486915,32.90049112616532,22.91231011699097,43.90880526716889,27.368901603269403,14.846759528935042,27.51855968406934,48.64268139106849
California,"(37.63864012300047, -120.99999953799971)",24.056118301979932,35.8823034185456,19.668066981508215,32.60596369998978,58.27307870452845,36.68851216112371,23.774697260544286,16.757566148638812,31.444280057224102
Colorado,"(38.843840757000464, -106.13361092099967)",20.7198641783948,35.75688024829032,16.944604662983725,35.38897454218996,61.50130575083018,39.97417966521951,26.738952351257122,18.194225473039232,35.07642084943868
Connecticut,"(41.56266102000046, -72.64984095199964)",25.27031967271109,36.19141011069897,23.02213569770103,30.411319420127466,53.404144097854086,33.17565581769129,21.23858129116499,20.01677001107514,33.22244971588347
Delaware,"(39.008830667000495, -75.57774116799965)",29.443460868639395,36.43370760020386,26.480698824305023,31.06042841751696,49.105578088032665,30.15588181317673,20.76183452196109,24.273253804270137,38.813472105088294
District of Columbia,"(38.89037138500049, -77.03196112699965)",22.511000607538474,31.285538838144568,19.408868076753535,34.919280832836606,58.186591723921225,35.150930021467566,25.46908314639264,19.37132998833467,33.23675925413601
Florida,"(28.932040377000476, -81.92896053899966)",26.1998974371292,36.652334780383846,26.25077973937611,29.27458259266574,51.60878522099449,32.89636253324585,20.310997980448505,20.772559666370775,37.47305054868582
Georgia,"(32.83968109300048, -83.62758034599966)",29.556174120550484,35.20776383101349,25.92435641189639,29.571800306229356,50.51056045495755,31.75857179599931,20.259783740555317,23.062096208299963,42.297438588782846
Guam,"(13.444304, 144.793731)",29.022689719785365,35.683625755898134,28.570845481049563,31.969270598829358,48.94920221794727,32.04188101983003,21.563452530560948,26.598224058974647,43.43283647523016
Hawaii,"(21.304850435000446, -157.85774940299973)",22.17921471642538,34.05486573994728,20.686345103969064,33.177255288220955,58.899684000000015,38.72403365658412,24.546399426998665,21.87584510878273,39.265357041565565
Idaho,"(43.682630005000476, -114.3637300419997)",28.148357288893553,36.22057940391459,21.04945160414089,29.80972515418685,56.03377899160552,35.43861751348585,21.338884965222054,19.28378358553045,37.98681671694654
Illinois,"(40.48501028300046, -88.99771017799969)",28.97807520713831,35.727575612709956,24.175280036826763,30.574236641221372,51.69578293559988,31.623714629083373,21.344290642282207,23.959129072343185,36.473999700284736
Indiana,"(39.766910452000445, -86.14996019399968)",31.7731239140627,34.8144076479304,28.375363882443924,25.517316153823593,44.87053076213936,26.875859046283313,16.18863749207488,26.422234659383452,42.22175374363856
Iowa,"(42.46940091300047, -93.81649055599968)",30.854645277224808,35.51128228978935,25.468975411562603,27.4353919455661,47.978432477439206,27.640765975454926,17.903169709033932,26.356402292350673,39.355784487470395
Kansas,"(38.34774030000045, -98.20078122699965)",31.06228704271291,34.97252682637176,25.701899110238656,26.40049861746974,49.02555413498787,29.193193224764283,17.792050258627548,22.033396237267432,41.701173990438136
Kentucky,"(37.645970271000465, -84.77497104799966)",32.263497373159716,34.91657869085242,30.295259250464216,25.98357287564318,45.94309255106818,28.766918179674594,16.81613051642025,24.557607408271107,45.728597545208
Louisiana,"(31.31266064400046, -92.44568007099969)",34.365733064527774,34.305055152366826,31.909332527229438,24.312653822143552,43.60528912030692,26.82374400741388,16.088580498055173,31.460694982778307,47.14813596491227
Maine,"(45.254228894000505, -68.98503133599962)",28.514265266499443,36.56953266192762,22.326981335747625,27.918509205417905,55.35329524671902,35.86905795926213,19.979815796751193,17.9349428589933,33.267740096230476
Maryland,"(39.29058096400047, -76.60926011099963)",28.576942157545982,36.13388373116561,23.85736021930188,31.10982247559483,50.49462689275667,29.893995726610733,21.233604194394896,21.232376579246363,35.37889172046374
Massachusetts,"(42.27687047000046, -72.08269067499964)",23.393156966260122,35.76477421376939,22.29865657095103,31.643458346414228,54.96741355600023,34.83510287536756,22.729208758418356,19.777392118158144,31.943958832765134
Michigan,"(44.6613195430005, -84.71439026999968)",31.207154517998525,34.929388511847044,24.307582465797136,28.59725730549671,53.28846809587187,33.94625740471357,19.538861505536115,23.54708203837995,37.39370115390444
Minnesota,"(46.35564873600049, -94.79420050299967)",26.250865832415386,36.75305301549213,20.936679954995626,30.741382071163464,54.306959831872796,33.0944227834549,21.324991678664095,22.710996814808375,36.50869511104197
Mississippi,"(32.745510099000455, -89.53803082499968)",34.99640489821067,34.53775143917959,35.29171939227856,23.69956322514552,38.41618848752897,22.736140417551372,14.156778371404467,31.016930713547048,50.07548479048746
Missouri,"(38.635790776000476, -92.56630005299968)",30.696428974041027,35.16288102412726,27.134043766412397,26.09009630860064,49.592089672453916,31.27666291482099,17.66644329803928,24.04133857570444,43.136154295020866
Montana,"(47.06652897200047, -109.42442064499971)",24.802585962985148,36.67918086748812,22.236410733750578,30.97134373893383,57.022577194262105,38.26753538420638,22.825057068832717,20.42504260128674,38.40792577319589
Nebraska,"(41.6410409880005, -99.36572062299967)",29.710778385043255,36.31716919794173,24.14151490943752,28.421741603828092,50.15531520880207,29.819631183115515,19.38724036600226,24.693427188976237,39.80520367772918
Nevada,"(39.493240390000494, -117.07184056399967)",25.861856808939837,36.877177203632804,23.100898865754637,31.775953375555847,53.78210305058495,34.792393483709276,22.902126409445735,21.26986811375188,36.027023896117896
New Hampshire,"(43.65595011300047, -71.50036091999965)",26.89107357041192,35.92123109080149,21.49009919014652,31.003774276963703,56.59698994145023,35.80716065697565,22.471135323061723,16.867854327605237,31.958827339573403
New Jersey,"(40.13057004800049, -74.27369128799967)",25.447574146183396,37.106371801344544,25.60084519151788,31.43474036494257,51.4341432200819,32.026153090095384,21.852829835621954,21.435700426484754,34.348318952277225
New Mexico,"(34.52088095200048, -106.24058098499967)",26.91916757985807,36.14204050969637,23.36443599699144,31.86766338032229,54.70133269975875,35.16811069585075,22.858941725594878,21.065166295978212,39.063083715034715
New York,"(42.82700103200045, -75.54397042699964)",25.10085495460608,35.406711374729895,26.590439065650532,29.948729621893563,48.83099881284265,30.021995522779363,20.247143861261673,21.859646731154314,34.84563288870683
North Carolina,"(35.466220975000454, -79.15925046299964)",29.497386294038026,36.20213918350463,25.758210569749426,27.608071801797667,47.90271150480747,28.69348565211477,18.466007226123114,21.624640975236844,41.49553740332488
North Dakota,"(47.47531977900047, -100.11842104899966)",30.679660505819655,36.64331736290762,25.394285988505363,26.635326883027595,46.47359066812392,26.51267520180986,16.909209670257038,26.76253909452524,39.21262713471539
Ohio,"(40.06021014100048, -82.40426005599966)",30.614958003418966,35.51187584303825,26.826237192228923,28.78162193855869,50.41850238962789,32.29965639172453,19.64297535427532,25.218290847962074,41.102722022753795
Oklahoma,"(35.47203135600046, -97.52107021399968)",32.426649808161834,35.26716184280519,31.062664346398382,23.961429890122993,45.03317800276255,27.762278915455894,15.872443565686712,25.116131032582075,49.87586927020508
Oregon,"(44.56744942400047, -120.15503132599969)",27.455249803852098,34.248632655515266,17.822187421225113,30.714138109907804,62.55670463738329,41.90797512751574,23.58084087811257,15.484919943654093,33.170450651220975
Pennsylvania,"(40.79373015200048, -77.86070029399963)",29.527337639753025,35.48975484293,25.130508523867412,28.209443426010793,48.996389433764875,30.12549801584685,18.612590265837852,23.973081274689186,36.76748187081726
Puerto Rico,"(18.220833, -66.590149)",28.511018096145172,38.08794024763146,44.46887570111439,10.669407905113404,33.92013542864443,17.090150933742645,7.942071104290556,24.316659095333893,55.25374402899028
Rhode Island,"(41.70828019300046, -71.52247031399963)",26.250716163018897,36.95086884389512,25.34543054760921,28.543681781836746,49.76876900219415,30.05120908695136,19.602015361778854,21.15870950118533,34.374334327277566
South Carolina,"(33.998821303000454, -81.04537120699968)",31.56605916155932,34.90903181478714,26.37698735791991,27.430650790076957,50.09346711424252,31.142500981130475,18.69384553113982,26.109326968721977,44.979958625195074
South Dakota,"(44.353130053000484, -100.3735306369997)",29.380326439014276,36.35552569289237,23.41967445925279,26.874999411769316,51.082736499425515,31.085739703301197,17.526512057135974,25.21613919484392,39.8045100341168
Tennessee,"(35.68094058000048, -85.77449091399967)",31.80939431767714,35.50739282327094,32.041004021044046,21.7893389630628,40.614293186870675,23.686533260032988,13.78747304276661,23.717341498876507,44.95328340644058
Texas,"(31.827240407000488, -99.42677020599967)",30.892872767501697,35.82416324363595,28.12296380274585,28.166609506261807,45.69307328969685,26.414974545249233,18.359016757453922,20.34169775988718,41.079993882898584
Utah,"(39.360700171000474, -111.58713063499971)",24.841872130992385,34.61377813540634,18.393243206836534,32.77993892010749,55.95979119933549,34.15435235548077,23.147264787853782,19.548842522461673,35.62985648699368
Vermont,"(43.62538123900049, -72.51764079099962)",24.784377471703266,35.73734341582646,20.009020187836036,29.664731781103114,59.30107171391577,39.78367112952141,22.325677746510255,16.98119958804605,31.99990342743198
Virginia,"(37.54268067400045, -78.45789046299967)",28.383089529135237,35.85722433460077,24.379881985332094,32.158279601294176,51.96806630445083,32.311226141955856,22.23896731232934,21.27688003897594,38.17241686070349
Washington,"(47.52227862900048, -120.47001078999972)",26.88101651290634,35.48917749949677,19.481556131296024,30.985144906187656,57.12685282376018,36.898639482318465,21.881925904682454,17.29479024432135,35.19660764716824
West Virginia,"(38.66551020200046, -80.71264013499967)",34.615288668464146,34.929072838261575,31.51349532048064,19.55885518837081,46.23623059591972,30.11689053509931,12.91604516370284,25.244618021086957,47.27955905151337
Wisconsin,"(44.39319117400049, -89.81637074199966)",30.126659349173543,36.40881579410833,22.134061732087666,28.8343906177817,55.918155040408344,34.90843053458009,20.842939394590413,24.99541518084565,36.58104135832922
Wyoming,"(43.23554134300048, -108.10983035299967)",26.93722276503578,36.753733476443344,24.200622630544878,29.416719598106017,54.10801031804077,35.247047030073325,21.25201825517297,20.746163592433252,39.31941298128961
